,id,s2_id,lon,lat,time,cs_cdf,base_date,days_diff,abs_days_diff,corine,class,query_day,ARCHIVNR,Operat,vector_url,RGB_raster,NIR_raster,prevTime,Date,s2_download_id,s2_full_id
0,0,20230819T101609_20230819T102334_T32TNT,9.514963996929232,47.270250827086265,2023-08-19,0.9254901960784314,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00000,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
1,1,20230819T101609_20230819T102334_T32TNT,9.532692377252534,47.25931246431839,2023-08-19,0.9176470588235294,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00001,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
2,2,20230814T102031_20230814T102027_T32TNT,9.531864457635212,47.27081571529853,2023-08-14,0.8745098039215686,2023-08-11,3,3,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00002,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT
3,3,20230814T102031_20230814T102027_T32TNT,9.5310361777907,47.2823189465435,2023-08-14,0.8901960784313725,2023-08-11,3,3,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00003,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT
4,4,20230819T101609_20230819T102334_T32TNT,9.530207537484022,47.293822157589794,2023-08-19,0.9254901960784314,2023-08-11,8,8,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00004,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
5,5,20230819T101609_20230819T102334_T32TNT,9.556170674501631,47.167847094178896,2023-08-19,0.9254901960784314,2023-08-11,8,8,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00005,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
6,7,20230819T101609_20230819T102334_T32TNT,9.552882962929507,47.213861050652845,2023-08-19,0.9254901960784314,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00006,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
7,8,20230819T101609_20230819T102334_T32TNT,9.552060141935588,47.22536449745553,2023-08-19,0.9254901960784314,2023-08-11,8,8,1,1,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00007,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
8,9,20230819T101609_20230819T102334_T32TNT,9.551236963235748,47.23686792640615,2023-08-19,0.9254901960784314,2023-08-11,8,8,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00008,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
9,10,20230819T101609_20230819T102334_T32TNT,9.550413426596853,47.24837133704166,2023-08-19,0.9215686274509804,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00009,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
10,11,20230814T102031_20230814T102027_T32TNT,9.549589531785562,47.2598747288989,2023-08-14,0.8705882352941177,2023-08-11,3,3,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00010,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT
11,12,20230814T102031_20230814T102027_T32TNT,9.548765278568338,47.27137810151468,2023-08-14,0.8823529411764706,2023-08-11,3,3,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00011,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT
12,13,20230819T101609_20230819T102334_T32TNT,9.54794066671144,47.28288145442562,2023-08-19,0.9215686274509804,2023-08-11,8,8,1,1,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00012,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
13,14,20230814T102031_20230814T102027_T32TNT,9.547115695980912,47.29438478716833,2023-08-14,0.8666666666666667,2023-08-11,3,3,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00013,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT
14,15,20230814T102031_20230814T102027_T32TNT,9.546290366142612,47.30588809927927,2023-08-14,0.9098039215686274,2023-08-11,3,3,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00014,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT
15,16,20230819T101609_20230819T102334_T32TNT,9.573038911404424,47.16840588954337,2023-08-19,0.9215686274509804,2023-08-11,8,8,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00015,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
16,17,20230819T101609_20230819T102334_T32TNT,9.57222117287592,47.17990952398021,2023-08-19,0.9176470588235294,2023-08-11,8,8,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00016,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
17,18,20230819T101609_20230819T102334_T32TNT,9.571403079151528,47.19141314244632,2023-08-19,0.9176470588235294,2023-08-11,8,8,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00017,COPERNICUS/S2_SR_HARMONIZED/20230819T101609_20230819T102334_T32TNT
18,19,20230814T102031_20230814T102027_T32TNT,9.57058462999995,47.202916744479104,2023-08-14,0.8862745098039215,2023-08-11,3,3,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,S2_U_00018,COPERNICUS/S2_SR_HARMONIZED/20230814T102031_20230814T102027_T32TNT
